ORG ID,product,quantity,price,notes
1,Full,525,380,
2,Full,450,420,
3,Full,80,420,
4,Full,125,420,
5,Full,49,420,
6,Full,18,420,
7,Program + Hotel,112,340,
8,Full,75,420,
9,Full,112,420,
10,Full,100,420,
11,Full,28,420,
12,Full,40,420,
13,Full,48,420,
14,Full,170,420,
15,Full,125,389,
16,Full,15,420,
17,Full,24,420,
18,Full,12,420,
19,Program + Hotel,30,325,
20,Full,35,389,
21,Program Only,6,185,
22,Full,40,389,
23,Full,25,405,
24,Full,45,405,
25,Full,40,405,
26,Full,125,420,
27,Full,110,400,
28,Full,20,389,
29,Program + Meals,35,265,
30,Full,27,420,
31,Full,19,389,
32,Program + Hotel,20,340,
33,Full,76,405,
34,Full,30,420,
35,Full,14,389,
36,Full,19,420,
37,Full,60,389,
38,Full,55,420,
39,Program + Hotel,55,309,
40,Program + Hotel,20,315,
41,Program Only,50,185,
42,Full,72,395,
43,Program + Meals,100,265,
44,Full,30,420,
45,Full,15,405,
46,Program Only,30,185,
47,Program Only,35,185,
48,Program + Hotel,30,340,
49,Program + Hotel,15,340,
50,Program Only,80,185,
51,Program + Hotel,29,309,
52,Program + Hotel,70,315,
53,Full,46,389,
54,Full,60,420,
55,Full,20,389,
56,Full,54,420,
57,Full,13,395,
58,Full,36,395,
59,Full,16,420,
60,Program + Meals,50,265,
61,Full,36,389,
62,Full,80,420,
63,Full,30,420,
64,Program + Hotel,65,315,
65,Program Only,50,185,
66,Program + Meals,20,265,
67,Full,55,389,
68,Full,23,389,
69,Program + Hotel,50,315,
70,Full,25,405,
71,Program Only,20,185,
72,Full,32,395,
73,Full,12,395,
74,Program Only,90,185,
75,Program + Hotel,20,309,
76,Program Only,12,185,
77,Full,20,420,
78,Program + Hotel,40,309,
79,Full,19,395,
80,Full,35,389,
81,Full,20,389,
82,Full,32,389,
83,Full,25,389,
84,Full,6,420,
85,Program Only,16,185,
86,Full,22,389,
87,Program Only,66,185,
88,Full,36,389,
89,Program + Hotel,25,309,
90,Full,16,389,
91,Program + Hotel,14,309,
92,Program + Hotel,35,340,
93,Program + Hotel,15,340,
94,Full,125,415,
95,Full,15,389,
97,Full,15,389,
98,Full,4,389,
99,Full,10,420,
100,Program + Hotel,26,309,
101,Program Only,50,185,
102,Full,25,415,
103,Program + Hotel,38,340,
104,Program + Hotel,16,340,
105,Full,30,405,
106,Full,40,415,
107,Program + Hotel,35,335,
108,Full,50,395,
109,Full,40,415,
110,Full,40,405,
